Date,Adj Close,Open,High,Low,Last,Close,Average Price,Volume,Turnover,No. of Trades
2016-11-24,920.25,928.2,939.9,923.3,930,930.3,931.71,8390322,7817314314,131479
2016-11-25,930.3,930.45,985,930.45,974.7,977.5,971.84,6315690,6137814601,206134
2016-11-28,977.5,979.3,983.45,970.6,978.05,979.75,978.12,3682856,3602267991,114279
2016-11-29,979.75,978.8,984.7,967.1,973.45,972.6,976.81,3062753,2991717837,84322
2016-11-30,972.6,973,977,961.05,974.05,975.55,973.42,4250459,4137474120,99676
2016-12-01,975.55,976,983.55,967,974.95,975.6,974.84,2305795,2247777694,68019
2016-12-02,975.6,964.8,969.6,961.1,963,964.5,966.01,2226614,2150941267,130557
2016-12-05,964.5,965.9,968.6,958,961,961.65,961.83,1829788,1759944182,57931
2016-12-06,961.65,961.8,979.5,961.65,968.55,966.5,971.03,1781055,1729462850,64774
2016-12-07,966.5,968,973,960.2,966.7,966.4,967.48,1692990,1637934319,77351
2016-12-08,966.4,970.05,986.1,970.05,985,984.65,983.22,2970831,2920977613,83482
2016-12-09,984.65,985,1008.15,981.5,986,989.35,995.37,4324192,4304149911,121111
2016-12-12,989.35,982.8,982.8,965.2,978,977.35,972.86,2672510,2599982626,74619
2016-12-13,977.35,980.5,992.85,971.1,987.5,990.2,983.95,2427141,2388175697,71109
2016-12-14,990.2,991,1004.95,984.1,999,999.75,996.89,2691307,2682939452,63665
2016-12-15,999.75,997.4,1018.95,989,992.4,992.35,1007.8,3983208,4014289728,107209
2016-12-16,992.35,1003.8,1009.7,997.75,1004.45,1005.15,1004.24,3218371,3232002246,93462
2016-12-19,1005.15,1006.1,1008.25,994.1,1005,1004.65,1000.85,2062067,2063821245,52933
2016-12-20,1004.65,1002,1019,1001.3,1013.5,1012.15,1012.54,3818249,3866136668,121711
2016-12-21,1012.15,1016,1022,998.25,1002.5,1001.55,1011.82,3671988,3715406428,85526
2016-12-22,1001.55,1002.5,1007,969.5,986,984.7,987.93,3530027,3487409630,109425
2016-12-23,984.7,984.9,1006.6,973.6,988.25,988.45,989.92,3653018,3616211974,87394
2016-12-26,988.45,988,994,975.1,983.35,982.75,983.28,1606914,1580049960,47565
2016-12-27,982.75,982.75,1001.9,980,996.9,998.95,993.09,2456408,2439426051,57508
2016-12-28,998.95,1002.95,1009.8,995,999,998.5,1003.15,2738408,2747039845,81224
2016-12-29,998.5,1003.75,1008,988.15,990,992.35,997.88,3120062,3113451672,92963
2016-12-30,992.35,998,1012,992.75,1011,1010.6,1006.91,3633884,3659012156,100569
2017-01-02,1010.6,1011.1,1012.95,999.35,1002.9,1001.1,1004.35,1167611,1172694416,28829
2017-01-03,1001.1,1004.1,1004.9,982,995.05,993.85,989.67,3389241,3354225264,113621
2017-01-04,993.85,995.05,1004.2,992.25,992.45,997.75,998.94,3536793,3533038015,99650
2017-01-05,997.75,1001.6,1009.5,988.75,996.2,996.15,1000.19,4103537,4104325150,100603
2017-01-06,996.15,994.9,998.85,968.05,977.3,972.25,973.69,7196724,7007392619,171262
2017-01-09,972.25,972.25,976.95,965,970,970.35,969.08,5272846,5109833703,86963
2017-01-10,970.35,977,981,967.95,971.15,970.55,973.74,5969927,5813159905,97596
2017-01-11,970.55,974.2,978.45,963.95,969.4,969.1,967.78,6120787,5923561832,192442
2017-01-12,969.1,977.55,1004.4,977.55,1001.5,1000.05,992.36,5927870,5882574394,152968
2017-01-13,1000.05,1030,1040,962.7,972.6,975.8,992.9,15638123,15527153070,327113
2017-01-16,975.8,965,965.45,952.45,957.45,955.65,959.11,6175686,5923132618,139257
2017-01-17,955.65,956.25,964,952.4,955.55,955.4,958.04,2780047,2663386306,80315
2017-01-18,955.4,958.1,961,949.8,950.9,950.8,955.6,2976481,2844323919,109771
2017-01-19,950.8,951,959.6,948.1,957.5,958.1,954,4438240,4234068518,139441
2017-01-20,958.1,950,953.15,946,946.15,948.7,949,4562371,4329702970,106341
2017-01-23,948.7,945,958,940,952.95,952.7,953.45,3974290,3789278960,116065
2017-01-24,952.7,950,950,940.1,946.05,945.55,944.02,3413005,3221953219,101476
2017-01-25,945.55,946.1,946.8,934.8,936.55,936.6,939.73,4989045,4688355349,123432
2017-01-27,936.6,933.85,947.55,901.15,942.65,942.15,939.2,5317569,4994263503,119331
2017-01-30,942.15,937.5,951.5,928.85,948.05,949.35,943.57,5684604,5363833728,147702
2017-01-31,949.35,941.5,941.5,904.35,929.4,928.6,925.07,12034267,11132572522,275395
2017-02-01,928.6,921.1,923.2,905.15,916,916.75,913.71,5765891,5268375697,170177
2017-02-02,916.75,917,945,910.1,934.7,935.9,931.77,5914134,5510613427,123387
